kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
daycares with transportation,,0,0,0,0,4.7,1300,0,1,10,0,0,0,1,0,5,6058,0,10,-1,0,FALSE,2025-10-21
childcare in wyndham farms,https://chromaela.com/service-areas-midway-alpharetta-ga,13,0,112,2,0,0,0,39,9,31.21,0,112,39,0,0,0,8.32,7,73,0,FALSE,2025-11-20
places for babies to play,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,6,-6,1,0,FALSE,2025-11-18
best parks for kids near me,,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,10,-1,0,FALSE,2025-09-28
callahan learning center locust grove,https://chromaela.com/,1,0,1,60,0,0,0,0,0,0,0,1,0,0,0,0,60,-60,1,0,FALSE,2025-11-16
la petite academy kenosha,https://chromaela.com/tour-appointment,1,0,1,3,7.4,110,0,0,0,31.65,0,1,0,7,0,812,3,-3,1,0,FALSE,2025-11-21
preschool lawrenceville ga,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,3,1,7.6,110,0,1,10,39.08,0,3,1,23,8,840,1,9,2,0,FALSE,2025-11-19
east lake early learning academy,https://chromaela.com/,1,0,1,52,4.7,260,0,3,50,33.58,0,1,3,5,14,1219,52,-2,-2,0,FALSE,2025-10-30
part time daycare near me,https://chromaela.com/service-areas-rivergreen-ga,3,0,3,1,7.2,9900,1,5,1,60.05,0,3,4,22,29,71082,7.33,0,-2,-1,FALSE,2025-11-11
piaget stages sensorimotor,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,38,2,3600,0,0,0,46.55,0,2,0,4,0,7200,51.5,-38,2,0,FALSE,2025-11-23
daycare for infants with colic,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,12,0,0,0,1,11,0,0,1,1,0,0,0,12,-1,0,0,FALSE,2025-10-31
bilingual montessori school,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,10,-10,1,0,FALSE,2025-11-09
classes for toddlers near me,https://chromaela.com/service-areas-lawrenceville-ga,1,0,2,35,0,0,0,0,0,4.58,0,2,0,0,0,0,35.5,-35,2,0,FALSE,2025-11-23
parks that offer the best variety for under-6 guests,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,1,1,0,0,0,3,1,0,0,1,3,0,0,0,1,0,-2,0,FALSE,2025-11-17
infant daycare with cameras near me,https://chromaela.com/,8,0,8,12,11,40,0,1,89,42.51,0,8,1,88,11,440,12,77,7,0,FALSE,2025-11-16
child learning center 2025,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-14
jonesboro ga to roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,1,10,0,20,0,0,0,0,0,1,0,0,0,0,10,-10,1,0,FALSE,2025-11-17
daycare in alpharetta georgia,,0,0,0,0,0,10,0,1,36,0,0,0,1,0,0,0,0,36,-1,0,FALSE,2025-10-22
1340 lawrenceville highway,,0,0,0,0,3,50,0,1,87,0,0,0,1,0,3,151,0,87,-1,0,FALSE,2025-10-17
stages of sensorimotor development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,64,0,0,0,0,0,0,0,1,0,0,0,0,64,-64,1,0,FALSE,2025-11-14
montessori preschool near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,9,5.7,5400,0,0,0,48.84,0,1,0,6,0,30834,9,-9,1,0,FALSE,2025-11-17
m and s magical stars daycare,https://chromaela.com/,1,0,2,93,2.2,90,0,0,0,29.53,0,2,0,4,0,196,93,-93,2,0,FALSE,2025-11-18
daycare in lawrenceville ga,https://chromaela.com/,3,0,10,17,0,0,0,2,45,15.23,0,10,2,0,0,0,57.1,28,8,0,FALSE,2025-11-23
early childhood education,https://chromaela.com/service-areas-mcdonough-ga,6,0,8,8,6.4,823000,0,1279,2,86.87,0,8,1279,51,8160,5250740,2.88,-6,-1271,0,FALSE,2025-11-23
pre k in clayton county ga,https://chromaela.com/services-pre-k-lottery,3,0,14,30,6.4,30,0,19,48,42.75,0,14,19,89,121,192,31.71,18,-5,0,FALSE,2025-11-23
aplus early learning academy,https://chromaela.com/,1,0,2,54,5.9,210,0,0,0,38.24,0,2,0,12,0,1239,52,-54,2,0,FALSE,2025-11-13
child care in marietta ga,https://chromaela.com/,1,0,2,82,0,0,0,0,0,4.58,0,2,0,0,0,0,82,-82,2,0,FALSE,2025-11-19
pre-k readiness tutoring alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,4,0,23,74,0,0,0,26,64,0,0,23,26,0,0,0,56.48,-10,-3,0,FALSE,2025-11-23
popular toys for 2 year old girl,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-21
childcare learning center,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-27
theorized that all humans develop through experimentation with objects,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-09-26
form and movement in art examples,https://chromaela.com/post/art-meets-math-finger-painting-for-learning,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-11-12
bilingual daycare duluth ga,https://chromaela.com/service-areas-satellite-ga,3,0,6,1,0,0,0,8,2,11.85,0,6,8,0,0,0,4.33,1,-2,0,FALSE,2025-11-20
definition of sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,66,0,260,0,0,0,0,0,1,0,0,0,0,66,-66,1,0,FALSE,2025-11-21
daycare teacher school in macon ga,,0,0,0,0,0,0,0,48,87,0,0,0,48,0,0,0,0,87,-48,0,FALSE,2025-10-16
what is sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,6,56,0,880,0,0,0,11.85,0,6,0,0,0,0,62.17,-56,6,0,FALSE,2025-11-21
school with pre k near me,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-14
austell ga to ellenwood ga,https://chromaela.com/service-areas-southcobb-ga,1,0,6,10,0,20,0,1,12,11.85,0,6,1,0,0,0,11.5,2,5,0,FALSE,2025-11-23
sensorimotor stage piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,9,47,2,1600,0,2,58,52.67,0,9,2,18,4,3200,65.57,11,7,0,FALSE,2025-11-21
the early learning center,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,3,2.1,1300,0,0,0,41.9,0,2,0,4,0,2691,3,-3,2,0,FALSE,2025-11-03
see me grow early learning academy,https://chromaela.com/,1,0,3,24,3.3,480,0,5,19,44.02,0,3,5,10,17,1598,22,-5,-2,0,FALSE,2025-11-18
phase learning center alpharetta,,0,0,0,0,10,40,0,2,52,0,0,0,2,0,20,401,0,52,-2,0,FALSE,2025-10-15
benefits of stem toys for 5 year olds,https://chromaela.com/post/the-benefits-of-stem-toys-for-preschoolers,1,0,4,7,0,0,0,0,0,0,0,4,0,0,0,0,6.33,-7,4,0,FALSE,2025-11-19
bilingual nurseries benefits for children with no prior language exposure,https://www.chromaela.com/post/bilingual-daycare-unlocking-a-world-of-benefits-for-your-child,1,0,23,6,0,0,0,1,3,20.74,0,23,1,0,0,0,4.13,-3,22,0,FALSE,2025-11-23
georgia lottery education,,0,0,0,0,0,30,0,1,34,0,0,0,1,0,0,0,0,34,-1,0,FALSE,2025-10-06
daycares in locust grove ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,8,4.4,210,0,1,11,32.25,0,1,1,4,4,922,8,3,0,0,FALSE,2025-10-28
2 day a week preschool near me,,0,0,0,0,4.4,140,0,1,10,0,0,0,1,0,4,616,0,10,-1,0,FALSE,2025-10-17
creative learning center clayton ga,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,49,0,70,0,0,0,0,0,1,0,0,0,0,49,-49,1,0,FALSE,2025-11-22
toys for 2 year old baby girl,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,6,-6,1,0,FALSE,2025-11-23
best toddler park near me,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-12
daycares with cameras near me,https://chromaela.com/service-areas-ellenwood-ga,15,0,53,8,8.2,1300,0,1,84,70.1,0,53,1,436,8,10699,11.76,76,52,0,FALSE,2025-11-19
krum early education center,,0,0,0,0,0,390,0,1,60,0,0,0,1,0,0,0,0,60,-1,0,FALSE,2025-10-08
supreme abc learning academy,https://chromaela.com/,1,0,1,35,0,0,0,0,0,0,0,1,0,0,0,0,35,-35,1,0,FALSE,2025-11-16
early childhood academy near me,https://chromaela.com/,1,0,1,18,5.2,40,0,0,0,25.21,0,1,0,5,0,208,18,-18,1,0,FALSE,2025-11-06
transition academy canton ga,https://chromaela.com/service-areas-cherokee-ga,1,0,1,12,0,70,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-10-30
sensorimotor stage example,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,82,0,1600,0,0,0,7.27,0,3,0,0,0,0,83,-82,3,0,FALSE,2025-11-18
sensorimotor cognitive development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,70,0,40,0,0,0,4.58,0,2,0,0,0,0,74.5,-70,2,0,FALSE,2025-11-17
mothers day out program near me,https://chromaela.com/tour-appointment,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-20
herring township childcares,https://chromaela.com/service-areas-midway-alpharetta-ga,2,0,23,3,0,0,0,7,11,20.74,0,23,7,0,0,0,3.09,8,16,0,FALSE,2025-11-20
cumming preschool preschools in milton,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,21,8,0,0,0,0,0,20.14,0,21,0,0,0,0,8.69,-8,21,0,FALSE,2025-11-20
best preschools around me,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,9,5.7,50,0,0,0,31.26,0,2,0,11,0,283,9,-9,2,0,FALSE,2025-11-05
chroma early learning academy of lawrenceville reviews,,0,0,0,0,0,20,0,21,3,0,0,0,21,0,0,0,0,3,-21,0,FALSE,2025-10-02
herring township day care,https://chromaela.com/service-areas-midway-alpharetta-ga,6,0,66,4,0,0,0,0,0,27.71,0,66,0,0,0,0,8.09,-4,66,0,FALSE,2025-11-20
c alexander learning academy,https://chromaela.com/,1,0,2,53,3.3,320,0,1,70,37.45,0,2,1,7,3,1050,58.5,17,1,0,FALSE,2025-11-12
the beacon at east roswell,https://chromaela.com/service-areas-roswell-ga,1,0,4,12,3.1,10,0,0,0,25.41,0,4,0,12,0,31,11.67,-12,4,0,FALSE,2025-11-01
phase family learning center daycare alpharetta photos,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,5,0,90,0,0,0,4.58,0,2,0,0,0,0,19.5,-5,2,0,FALSE,2025-11-10
premiere scholar early learning center,https://chromaela.com/,1,0,2,32,0,260,0,0,0,4.58,0,2,0,0,0,0,33.5,-32,2,0,FALSE,2025-11-22
apple schedule appointment,,0,0,0,0,0,1900,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-11
cherokee academy at clayton reviews,https://chromaela.com/service-areas-cherokee-ga,9,0,18,12,0,10,0,0,0,19.12,0,18,0,0,0,0,11.44,-12,18,0,FALSE,2025-11-23
early childhood schools near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,11,6.6,390,0,0,0,41.71,0,2,0,13,0,2586,11,-11,2,0,FALSE,2025-11-06
the smart place ellenwood ga,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,32,0,30,0,0,0,0,0,1,0,0,0,0,32,-32,1,0,FALSE,2025-11-03
preschool franchise georgia,https://chromaela.com/acquisitions,1,0,4,13,0,20,0,0,0,9.17,0,4,0,0,0,0,12.5,-13,4,0,FALSE,2025-11-17
parks near me with baby swings,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,2,0,3,3,0,0,0,0,0,7.27,0,3,0,0,0,0,3,-3,3,0,FALSE,2025-11-15
day care near me within 1 mi,https://chromaela.com/lilburn,1,0,2,10,4.9,1900,0,0,0,47.74,0,2,0,10,0,9253,10,-10,2,0,FALSE,2025-11-07
benefits of stem toys for toddlers,https://chromaela.com/post/the-benefits-of-stem-toys-for-preschoolers,2,0,16,9,0,0,0,1,12,18.34,0,16,1,0,0,0,10.12,3,15,0,FALSE,2025-11-23
a plus early learning academy,https://chromaela.com/,2,0,3,25,6.5,260,0,2,25,42.35,0,3,2,19,13,1680,48,0,1,0,FALSE,2025-10-27
sensorimotor stage of piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,68,2,3600,0,0,0,41.97,0,1,0,2,0,7200,68,-68,1,0,FALSE,2025-11-15
little creations learning center reviews,,0,0,0,0,0,30,0,2,1,0,0,0,2,0,0,0,0,1,-2,0,FALSE,2025-10-18
day care in bethany crossing,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,11,3,0,10,0,0,0,15.86,0,11,0,0,0,0,3.88,-3,11,0,FALSE,2025-11-20
childcare lawrenceville ga,,0,0,0,0,8.9,880,0,1,5,0,0,0,1,0,9,7814,0,5,-1,0,FALSE,2025-10-13
best playground for babies,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-02
stimulating toys for toddlers,,0,0,0,0,0,0,0,1,41,0,0,0,1,0,0,0,0,41,-1,0,FALSE,2025-10-13
early childhood class near me,https://chromaela.com/service-areas-marietta-west-ga,3,0,6,2,0,50,0,0,0,11.85,0,6,0,0,0,0,9.5,-2,6,0,FALSE,2025-11-19
icreate early learning academy,https://chromaela.com/service-areas-jonesboro-ga,1,0,3,7,0,0,0,0,0,0,0,3,0,0,0,0,7,-7,3,0,FALSE,2025-11-23
special needs daycare near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,20,3.6,2900,0,0,0,43.67,0,1,0,4,0,10324,20,-20,1,0,FALSE,2025-10-28
river green academy reviews,https://chromaela.com/service-areas-rivergreen-ga,3,0,13,13,0,140,0,28,13,17.46,0,13,28,0,0,0,11.45,0,-15,0,FALSE,2025-11-21
georgia lottery pre k program,,0,0,0,0,0,0,0,1,61,0,0,0,1,0,0,0,0,61,-1,0,FALSE,2025-10-16
herring township daycares,https://chromaela.com/service-areas-midway-alpharetta-ga,6,0,42,3,0,0,0,0,0,24.72,0,42,0,0,0,0,8.18,-3,42,0,FALSE,2025-11-20
day cares in wyndham farms,https://chromaela.com/,9,0,93,8,0,0,0,0,0,29.98,0,93,0,0,0,0,10.68,-8,93,0,FALSE,2025-11-13
preschool in wyndham farms,https://www.chromaela.com/home-690714,5,0,68,3,0,0,0,12,10,27.91,0,68,12,0,0,0,9.21,7,56,0,FALSE,2025-11-20
austell learning academy austell ga,https://chromaela.com/service-areas-southcobb-ga,1,0,3,70,4.4,480,0,1,79,43.41,0,3,1,13,4,2098,74.5,9,2,0,FALSE,2025-11-09
campus of model kids learning academy,https://chromaela.com/service-areas-cherokee-ga,5,0,8,8,0,0,0,0,0,0,0,8,0,0,0,0,8,-8,8,0,FALSE,2025-11-19
before school care near me,,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,0,0,21,-1,0,FALSE,2025-09-28
free georgia pre k near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,13,4,70,0,1,2,31.18,0,2,1,8,4,279,13,-11,1,0,FALSE,2025-11-10
daycare with play-based learning,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,13,0,0,0,1,13,0,0,2,1,0,0,0,13,0,1,0,FALSE,2025-11-20
daycare peachtree city ga,,0,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,15,-1,0,FALSE,2025-10-19
childcare in mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,1,0,10,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-28
play based preschool near me,https://chromaela.com/service-areas-tyrone-ga,1,0,2,2,6.3,590,0,0,0,43.42,0,2,0,13,0,3711,2,-2,2,0,FALSE,2025-11-07
river green neighborhood canton ga,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,56,0.7,30,0,0,0,14.18,0,1,0,1,0,20,56,-56,1,0,FALSE,2025-11-03
best montessori school near me,,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,34,-1,0,FALSE,2025-10-11
educational toy for 2 year old,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-20
benefits of bilingual nursery over traditional nursery,https://chromaela.com/post/bilingual-daycare-unlocking-a-world-of-benefits-for-your-child,2,0,10,1,0,0,0,0,0,15.23,0,10,0,0,0,0,2.62,-1,10,0,FALSE,2025-11-19
daycare and preschool combined,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-16
day care in wyndham farms,https://chromaela.com/,11,0,115,3,0,0,0,10,10,31.39,0,115,10,0,0,0,7.86,7,105,0,FALSE,2025-11-20
child care lawrenceville ga,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,2,1,0,0,0,1,10,4.58,0,2,1,0,0,0,6.5,9,1,0,FALSE,2025-11-23
daycares in alpharetta woods,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,11,5,0,0,0,0,0,15.86,0,11,0,0,0,0,6.73,-5,11,0,FALSE,2025-11-20
private pre k marietta ga,https://chromaela.com/,1,0,2,24,0,10,0,0,0,4.58,0,2,0,0,0,0,24,-24,2,0,FALSE,2025-11-19
the way we speak to your child matters,https://chromaela.com/post/the-words-you-use-and-the-behavior-you-give-your-child-matters,1,0,2,10,0,0,0,0,0,4.58,0,2,0,0,0,0,9.5,-10,2,0,FALSE,2025-10-30
daycares in douglasville georgia,,0,0,0,0,6.4,170,0,1,88,0,0,0,1,0,6,1095,0,88,-1,0,FALSE,2025-10-05
sensorimotor stage jean piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,47,2.1,590,0,0,0,33.72,0,1,0,2,0,1257,47,-47,1,0,FALSE,2025-11-05
how old is prodigy math game,https://chromaela.com/programs,1,0,1,1,0,90,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-13
early learning center athens ga,https://chromaela.com/,1,0,4,92,17.8,110,0,7,76,44.98,0,4,7,71,125,1957,65.75,-16,-3,0,FALSE,2025-11-23
first academy early learning center,https://chromaela.com/,1,0,1,20,0,90,0,0,0,0,0,1,0,0,0,0,20,-20,1,0,FALSE,2025-11-13
infant learning center near me,,0,0,0,0,6.1,20,0,4,1,0,0,0,4,0,24,122,0,1,-4,0,FALSE,2025-10-09
pre k for 3 year-olds georgia,https://chromaela.com/service-areas-jonesboro-ga,3,0,4,3,0,0,0,0,0,0,0,4,0,0,0,0,12.75,-3,4,0,FALSE,2025-11-21
best toddler parks near me,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-11-12
free pre k schools near me,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,2,5.6,1000,0,0,0,45.34,0,2,0,11,0,5570,5.5,-2,2,0,FALSE,2025-11-03
bethany crossing day cares,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,5,2,0,0,0,0,0,10.65,0,5,0,0,0,0,44.56,-2,5,0,FALSE,2025-11-20
individualized education program,,0,0,0,0,2.8,246000,0,1,12,0,0,0,1,0,3,676500,0,12,-1,0,FALSE,2025-10-16
preschool near me within 0.5 mi,https://chromaela.com/service-areas-lilburn-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-03
preschool near me with cameras,https://chromaela.com/,8,0,9,12,9,50,0,0,0,43.39,0,9,0,81,0,449,14.62,-12,9,0,FALSE,2025-11-11
piaget sensorimotor substages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,4,32,2,3600,0,0,0,51.14,0,4,0,8,0,7200,32.5,-32,4,0,FALSE,2025-11-20
what is a sample space in math,https://chromaela.com/post/b637f5ff-92a3-4b54-bb49-cd4bd23120a4-why-parent-involvement-shapes-curriculum-success-in-schools,1,0,1,1,0,590,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-16
pre-k programs lilburn ga,https://chromaela.com/,1,0,1,33,0,0,0,12,21,0,0,1,12,0,0,0,33,-12,-11,0,FALSE,2025-11-17
how to solve division problems,https://chromaela.com/post/teaching-by-example-how-parents-shape-their-childrens-behavior,1,0,1,1,1.5,590,0,0,0,32.22,0,1,0,2,0,914,1,-1,1,0,FALSE,2025-11-15
daycare in powder springs ga,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,10,9.2,260,0,1,9,41.33,0,2,1,18,9,2387,10.5,-1,1,0,FALSE,2025-11-03
early learning schools near me,https://chromaela.com/,2,0,4,1,7.1,260,0,0,0,44.71,0,4,0,28,0,1849,4,-1,4,0,FALSE,2025-11-19
pre school center in alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,60,0,0,0,0,0,4.58,0,2,0,0,0,0,60.5,-60,2,0,FALSE,2025-11-19
preschool for 4 year olds,,0,0,0,0,6.7,1600,0,1,9,0,0,0,1,0,7,10768,0,9,-1,0,FALSE,2025-10-17
parker chase preschool west oak,,0,0,0,0,0,10,0,1,70,0,0,0,1,0,0,0,0,70,-1,0,FALSE,2025-10-23
school for bad behavior kids,,0,0,0,0,0,0,0,1,27,0,0,0,1,0,0,0,0,27,-1,0,FALSE,2025-10-16
extra curricular activities near me,,0,0,0,0,1.8,2400,0,1,26,0,0,0,1,0,2,4416,0,26,-1,0,FALSE,2025-10-21
preschool in herring township,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,40,4,0,0,0,4,10,24.4,0,40,4,0,0,0,3,6,36,0,FALSE,2025-11-20
georgia pre k lottery 2025,https://chromaela.com/services-pre-k-lottery,1,0,1,1,6.1,70,0,0,0,28.59,0,1,0,6,0,425,1,-1,1,0,FALSE,2025-11-05
daycare for infants with medical needs,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-15
daycare building for lease in georgia,,0,0,0,0,2.8,10,0,1,11,0,0,0,1,0,3,28,0,11,-1,0,FALSE,2025-10-05
daycare for infants near me,,0,0,0,0,7.5,33100,0,1,12,0,0,0,1,0,8,248912,0,12,-1,0,FALSE,2025-10-02
kindercare learning center,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,7,0,0,0,0,0,4.58,0,2,0,0,0,0,6.5,-7,2,0,FALSE,2025-10-31
primary circular reaction,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,57,0,1600,0,1,45,4.58,0,2,1,0,0,0,57,-12,1,0,FALSE,2025-11-14
daycare near me with camera access,https://chromaela.com/,2,0,2,6,0,0,0,0,0,4.58,0,2,0,0,0,0,6,-6,2,0,FALSE,2025-11-10
park with baby swings near me,,0,0,0,0,0,0,0,2,14,0,0,0,2,0,0,0,0,14,-2,0,FALSE,2025-09-28
different types of childcare,https://chromaela.com/post/types-of-daycare-centers-which-is-right-for-your-family,1,0,1,83,7.1,90,0,0,0,30.54,0,1,0,7,0,641,83,-83,1,0,FALSE,2025-11-22
williams wonderland academy,https://chromaela.com/,2,0,2,40,0,110,0,2,44,4.58,0,2,2,0,0,0,53.5,4,0,0,FALSE,2025-10-31
south cobb early learning center photos,,0,0,0,0,0,30,0,2,23,0,0,0,2,0,0,0,0,23,-2,0,FALSE,2025-10-22
daycares near me that accept caps,https://chromaela.com/service-areas-southcobb-ga,1,0,1,20,7.3,480,0,0,0,38.59,0,1,0,7,0,3528,20,-20,1,0,FALSE,2025-10-29
parks with amenities for under-6 park days,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,3.5,-3,2,0,FALSE,2025-11-11
montessori school canton ga,https://chromaela.com/service-areas-cherokee-ga,1,0,1,98,0,0,1,2,1,0,0,1,1,0,0,0,98,-97,-1,-1,FALSE,2025-11-19
activities after school for kids,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-26
growing and glowing academy,,0,0,0,0,0,40,0,1,83,0,0,0,1,0,0,0,0,83,-1,0,FALSE,2025-10-19
piaget substages sensorimotor,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,31,0,90,0,0,0,0,0,1,0,0,0,0,31,-31,1,0,FALSE,2025-11-23
morrow early learning center,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,62,4.5,170,0,3,84,31.33,0,1,3,4,13,758,62,22,-2,0,FALSE,2025-11-15
what is sensorimotor intelligence,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,83,0,50,0,0,0,0,0,1,0,0,0,0,83,-83,1,0,FALSE,2025-11-23
learning academies near me,https://chromaela.com/service-areas-lawrenceville-ga,1,0,2,5,9.3,90,0,0,0,36.39,0,2,0,19,0,839,5,-5,2,0,FALSE,2025-11-19
daycare near me within 5 mi,https://chromaela.com/service-areas-jonesboro-ga,2,0,2,5,4.8,1900,1,1,14,47.65,0,2,0,10,0,9082,7.5,9,1,-1,FALSE,2025-11-17
georgia preschool lottery,https://chromaela.com/services-pre-k-lottery,1,0,1,41,0,30,0,3,11,0,0,1,3,0,0,0,41,-30,-2,0,FALSE,2025-11-09
daycares for infants near me,,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,0,0,34,-1,0,FALSE,2025-10-09
ga pre k lottery application,,0,0,0,0,3.2,90,0,1,56,26.79,0,0,1,0,3,290,0,56,-1,0,FALSE,2025-10-25
how to be a kindergarten teacher,,0,0,0,0,7,880,0,1,7,0,0,0,1,0,7,6142,0,7,-1,0,FALSE,2025-10-06
montessori school alpharetta ga,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,20,0,0,0,0,0,0,0,1,0,0,0,0,20,-20,1,0,FALSE,2025-10-27
ellenwood ga to austell ga,,0,0,0,0,0,20,0,2,10,0,0,0,2,0,0,0,0,10,-2,0,FALSE,2025-10-06
daycare with technology learning,https://chromaela.com/service-areas-tyrone-ga,3,0,43,13,0,0,0,38,13,25.47,0,43,38,0,0,0,12.8,0,5,0,FALSE,2025-11-19
